Slug,Title,Location,Valid,Main Image,Staged Count,Issues
mmfbscap5-mcway-falls-big-sur-ca-5,"Mcway Falls Big Sur Ca 5","Big Sur, California",Yes,main.jpg,10,""
mmwfgs1-milky-way-galaxy-flagstaff-sky,"Milky Way Galaxy Flagstaff Sky","Flagstaff, Arizona",Yes,main.jpg,8,""
msdca1-sand-dunes-ca,"Sand Dunes Ca","",Yes,main.jpg,14,""
msgrg5-sedona-golf-resort-greens-5,"Sedona Golf Resort Greens 5","Sedona, Arizona",Yes,main.jpg,8,""
msgrl1-sedona-golf-resort-lake24,"Sedona Golf Resort Lake24","Sedona, Arizona",Yes,main.jpg,0,""
msgroah10-sedona-golf-resort-on-a-hill-10,"Sedona Golf Resort On A Hill 10","Sedona, Arizona",Yes,main.jpg,8,""
msgrp3-sedona-golf-resort-pond-3,"Sedona Golf Resort Pond 3","Sedona, Arizona",Yes,main.jpg,10,""
msgrrf1-sedona-golf-resort-red-flag-sprinklers,"Sedona Golf Resort Red Flag Sprinklers","Sedona, Arizona",Yes,main.jpg,8,""
msgrwf1-sedona-golf-resort-white-flag,"Sedona Golf Resort White Flag","Sedona, Arizona",Yes,main.jpg,8,""
mssanbw1-sedona-skyline-at-night-black-white-portrait,"Sedona Skyline At Night Black White Portrait","Sedona, Arizona",Yes,main.jpg,8,""
mssanbw2-sedona-skyline-at-night-black-white,"Sedona Skyline At Night Black White","Sedona, Arizona",Yes,main.jpg,8,""
mssanc1-sedona-skyline-at-night-color-landscape,"Sedona Skyline At Night Color Landscape","Sedona, Arizona",Yes,main.jpg,8,""
mssanc2-sedona-skyline-at-night-color-portrait,"Sedona Skyline At Night Color Portrait","Sedona, Arizona",Yes,main.jpg,0,""
mwhwh1-white-horse,"White Horse","",Yes,main.jpg,8,""
sedona-gold-resort-lake-4,"Gold Resort Lake 4","Sedona, Arizona",Yes,main.jpg,0,""
sedona-golf-resort-long-links-shot-6,"Golf Resort Long Links Shot 6","Sedona, Arizona",Yes,main.jpg,16,""
sedona-golf-resort-rainbow-25,"Golf Resort Rainbow 25","Sedona, Arizona",Yes,main.jpg,0,""
sfcsva1-san-francisco-cityscape-view-above-1,"San Francisco Cityscape View Above 1","San Francisco, California",Yes,main.jpg,9,""
sfrhc1-san-francisco-row-house-color-1,"San Francisco Row House Color 1","San Francisco, California",Yes,main.jpg,10,""
sftbac1-san-francisco-three-buildings-abstract-color-1,"San Francisco Three Buildings Abstract Color 1","San Francisco, California",Yes,main.jpg,8,""
